file,label,geometry_type,method,status,error,pc_to_mesh_mean,pc_to_mesh_rmse,pc_to_mesh_p95,mesh_to_pc_mean,chamfer_mean,mesh_components,largest_mesh_component_ratio,mean_adjacent_face_angle,smoothness_score,n_vertices,n_triangles,bad_triangle_ratio,mean_aspect_ratio,artifact_score,rmse_normalized,accuracy_score,connectivity_score,global_quality_score
valve_0003_lidar_classes.ply,5,complex,alpha_shape,ok,,0.0041963044317538025,0.005044095518594128,0.008153594408063224,0.011478337204438332,0.015674641636192137,4,0.94140625,0.8943653497059137,0.5278812770489297,134,256,0.0,2.077444631716073,1.0,0.019476252806957865,0.980895824936252,0.25,0.6896942754962955
valve_0003_lidar_classes.ply,5,complex,ball_pivoting,ok,,0.004995464815322363,0.009321358339829904,0.011738643717757081,0.008144644612745722,0.013140109428068085,4,0.966824644549763,0.22305621575925189,0.8176239056838589,138,211,0.0,1.7533233282291787,1.0,0.03599161254213756,0.9652587799877833,0.25,0.7582206714179105
valve_0003_lidar_classes.ply,5,complex,poisson,ok,,0.0038572019149198194,0.006186067195105596,0.008537102101541068,0.007311454112196835,0.011168656027116655,21,0.92,0.2482375403862699,0.8011295668054877,1029,1825,0.05041095890410959,3.6435714640676844,0.9495890410958904,0.023885631849867403,0.976671582150525,0.047619047619047616,0.6937523094177377
valve_0003_lidar_classes.ply,6,tubular,alpha_shape,ok,,0.009248385176489323,0.010880920979131023,0.01932417875282631,0.00955779233371589,0.01880617751020521,37,0.43699927166788055,0.9308906176706504,0.5178957268984818,697,1373,0.003641660597232338,2.0682335926477062,0.9963583394027676,0.014815022970764292,0.985401257731291,0.02702702702702703,0.6316705877648918
valve_0003_lidar_classes.ply,6,tubular,ball_pivoting,ok,,0.008663564931796255,0.010149959842569854,0.018948713505652772,0.00941066103933261,0.018074225971128864,2,0.9992307692307693,0.2840914204395658,0.7787607518300241,742,1300,0.0038461538461538464,1.845596267498084,0.9961538461538462,0.013819775780782905,0.9863686070138652,0.5,0.8153208012494338
valve_0003_lidar_classes.ply,6,tubular,poisson,ok,,0.010736478925708969,0.012078629206354429,0.02125990104859288,0.028103631066520494,0.03884010999222946,1,1.0,0.17222533726753467,0.8530783017632146,2659,5237,0.0601489402329578,18.27177345657671,0.9398510597670422,0.01644577416660702,0.9838203133068352,1.0,0.9441874187092729
valve_0003_lidar_classes.ply,7,tubular,alpha_shape,ok,,0.004661378933982286,0.005928561378906185,0.01340654502059612,0.00855044808440896,0.013211827018391246,2,0.5595238095238095,0.6293379970432678,0.6137461974217032,170,336,0.008928571428571428,2.533991724748713,0.9910714285714286,0.01728221277506533,0.9830113880317234,0.5,0.7719572535062138
valve_0003_lidar_classes.ply,7,tubular,ball_pivoting,ok,,0.004010324050991488,0.004898138928707861,0.008797232669057676,0.0070154649646935055,0.011025789015684993,1,1.0,0.3064158877479208,0.7654530302167871,189,330,0.006060606060606061,2.18292530554672,0.9939393939393939,0.014278452015179742,0.9859225521484646,1.0,0.9363287440761614
valve_0003_lidar_classes.ply,7,tubular,poisson,ok,,0.00476697677545605,0.005927836018519212,0.014144010252346108,0.00868095647913098,0.01344793325458703,1,1.0,0.18983001844523836,0.8404561865960559,766,1417,0.062103034580098804,6.52257153280828,0.9378969654199012,0.017280098293702133,0.9830134312833937,1.0,0.9403416458248377
valve_0003_lidar_classes.ply,8,tubular,alpha_shape,ok,,0.004747097324045908,0.0058577685468967616,0.009440154583096803,0.00969716652659132,0.014444263850637226,1,1.0,0.6773826361275221,0.5961668962477418,119,240,0.0,1.9108720768951137,1.0,0.017164193889769398,0.9831254442568105,1.0,0.8948230851261381
