file,n_points,n_segments,min_label,max_label,labels,has_nan
valve_0176_lidar_classes.ply,5842,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0177_lidar_classes.ply,5710,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0178_lidar_classes.ply,5751,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0179_lidar_classes.ply,6019,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0180_lidar_classes.ply,5900,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0181_lidar_classes.ply,5698,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0182_lidar_classes.ply,5866,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0184_lidar_classes.ply,5678,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0185_lidar_classes.ply,5762,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0186_lidar_classes.ply,6022,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0187_lidar_classes.ply,5817,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0188_lidar_classes.ply,5893,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0189_lidar_classes.ply,5897,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0190_lidar_classes.ply,5741,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0191_lidar_classes.ply,5907,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0192_lidar_classes.ply,5774,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0193_lidar_classes.ply,5686,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0194_lidar_classes.ply,5944,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0195_lidar_classes.ply,5788,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0196_lidar_classes.ply,5897,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0197_lidar_classes.ply,6016,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0198_lidar_classes.ply,5693,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0199_lidar_classes.ply,5727,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0200_lidar_classes.ply,5703,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0201_lidar_classes.ply,5706,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0202_lidar_classes.ply,5715,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0203_lidar_classes.ply,5661,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0205_lidar_classes.ply,5794,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0206_lidar_classes.ply,6134,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0207_lidar_classes.ply,5896,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0208_lidar_classes.ply,5646,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0209_lidar_classes.ply,5789,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0210_lidar_classes.ply,5769,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0211_lidar_classes.ply,5887,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0212_lidar_classes.ply,5995,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0213_lidar_classes.ply,5691,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0214_lidar_classes.ply,5895,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0215_lidar_classes.ply,6009,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0216_lidar_classes.ply,5949,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0217_lidar_classes.ply,5810,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0218_lidar_classes.ply,5837,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0219_lidar_classes.ply,5883,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0220_lidar_classes.ply,5907,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0221_lidar_classes.ply,5771,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0222_lidar_classes.ply,5624,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0223_lidar_classes.ply,6017,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0224_lidar_classes.ply,5715,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0225_lidar_classes.ply,5773,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0226_lidar_classes.ply,5733,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0227_lidar_classes.ply,5760,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0228_lidar_classes.ply,5825,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0229_lidar_classes.ply,5768,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0231_lidar_classes.ply,6010,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0232_lidar_classes.ply,5989,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0233_lidar_classes.ply,5832,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0234_lidar_classes.ply,5926,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0235_lidar_classes.ply,5793,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0236_lidar_classes.ply,5766,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0237_lidar_classes.ply,5731,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0238_lidar_classes.ply,6039,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0239_lidar_classes.ply,5778,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0240_lidar_classes.ply,5565,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0241_lidar_classes.ply,5921,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0242_lidar_classes.ply,6044,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0243_lidar_classes.ply,5987,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0244_lidar_classes.ply,5681,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0245_lidar_classes.ply,6142,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0246_lidar_classes.ply,5896,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0247_lidar_classes.ply,5657,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0248_lidar_classes.ply,5996,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0249_lidar_classes.ply,5913,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0250_lidar_classes.ply,5966,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
