file,label,n_points
valve_0016_lidar_classes.ply,8,130
valve_0016_lidar_classes.ply,9,240
valve_0016_lidar_classes.ply,10,220
valve_0016_lidar_classes.ply,11,389
valve_0016_lidar_classes.ply,12,553
valve_0016_lidar_classes.ply,13,1159
valve_0017_lidar_classes.ply,0,1094
valve_0017_lidar_classes.ply,1,221
valve_0017_lidar_classes.ply,2,154
valve_0017_lidar_classes.ply,3,355
valve_0017_lidar_classes.ply,4,331
valve_0017_lidar_classes.ply,5,114
valve_0017_lidar_classes.ply,6,725
valve_0017_lidar_classes.ply,7,136
valve_0017_lidar_classes.ply,8,205
valve_0017_lidar_classes.ply,9,311
valve_0017_lidar_classes.ply,10,232
valve_0017_lidar_classes.ply,11,429
valve_0017_lidar_classes.ply,12,461
valve_0017_lidar_classes.ply,13,992
valve_0018_lidar_classes.ply,0,1058
valve_0018_lidar_classes.ply,1,232
valve_0018_lidar_classes.ply,2,169
valve_0018_lidar_classes.ply,3,381
valve_0018_lidar_classes.ply,4,294
valve_0018_lidar_classes.ply,5,135
valve_0018_lidar_classes.ply,6,747
valve_0018_lidar_classes.ply,7,155
valve_0018_lidar_classes.ply,8,147
valve_0018_lidar_classes.ply,9,249
valve_0018_lidar_classes.ply,10,237
valve_0018_lidar_classes.ply,11,363
valve_0018_lidar_classes.ply,12,468
valve_0018_lidar_classes.ply,13,1161
valve_0019_lidar_classes.ply,0,1001
valve_0019_lidar_classes.ply,1,246
valve_0019_lidar_classes.ply,2,150
valve_0019_lidar_classes.ply,3,373
valve_0019_lidar_classes.ply,4,368
valve_0019_lidar_classes.ply,5,135
valve_0019_lidar_classes.ply,6,754
valve_0019_lidar_classes.ply,7,207
valve_0019_lidar_classes.ply,8,132
valve_0019_lidar_classes.ply,9,275
valve_0019_lidar_classes.ply,10,278
valve_0019_lidar_classes.ply,11,359
valve_0019_lidar_classes.ply,12,620
valve_0019_lidar_classes.ply,13,1011
valve_0020_lidar_classes.ply,0,925
valve_0020_lidar_classes.ply,1,259
valve_0020_lidar_classes.ply,2,173
valve_0020_lidar_classes.ply,3,345
valve_0020_lidar_classes.ply,4,317
valve_0020_lidar_classes.ply,5,111
valve_0020_lidar_classes.ply,6,839
valve_0020_lidar_classes.ply,7,137
valve_0020_lidar_classes.ply,8,191
valve_0020_lidar_classes.ply,9,338
valve_0020_lidar_classes.ply,10,307
valve_0020_lidar_classes.ply,11,333
valve_0020_lidar_classes.ply,12,416
valve_0020_lidar_classes.ply,13,960
valve_0021_lidar_classes.ply,0,1007
valve_0021_lidar_classes.ply,1,266
valve_0021_lidar_classes.ply,2,152
valve_0021_lidar_classes.ply,3,353
valve_0021_lidar_classes.ply,4,395
valve_0021_lidar_classes.ply,5,134
valve_0021_lidar_classes.ply,6,762
valve_0021_lidar_classes.ply,7,195
valve_0021_lidar_classes.ply,8,144
valve_0021_lidar_classes.ply,9,298
valve_0021_lidar_classes.ply,10,284
valve_0021_lidar_classes.ply,11,337
valve_0021_lidar_classes.ply,12,621
valve_0021_lidar_classes.ply,13,977
valve_0022_lidar_classes.ply,0,954
valve_0022_lidar_classes.ply,1,239
valve_0022_lidar_classes.ply,2,172
valve_0022_lidar_classes.ply,3,382
valve_0022_lidar_classes.ply,4,347
valve_0022_lidar_classes.ply,5,117
valve_0022_lidar_classes.ply,6,782
valve_0022_lidar_classes.ply,7,130
valve_0022_lidar_classes.ply,8,189
valve_0022_lidar_classes.ply,9,345
valve_0022_lidar_classes.ply,10,301
valve_0022_lidar_classes.ply,11,320
valve_0022_lidar_classes.ply,12,505
valve_0022_lidar_classes.ply,13,956
valve_0023_lidar_classes.ply,0,924
valve_0023_lidar_classes.ply,1,260
valve_0023_lidar_classes.ply,2,162
valve_0023_lidar_classes.ply,3,404
valve_0023_lidar_classes.ply,4,302
valve_0023_lidar_classes.ply,5,135
valve_0023_lidar_classes.ply,6,758
valve_0023_lidar_classes.ply,7,145
valve_0023_lidar_classes.ply,8,200
valve_0023_lidar_classes.ply,9,326
valve_0023_lidar_classes.ply,10,286
valve_0023_lidar_classes.ply,11,304
valve_0023_lidar_classes.ply,12,536
valve_0023_lidar_classes.ply,13,909
valve_0024_lidar_classes.ply,0,1091
valve_0024_lidar_classes.ply,1,245
valve_0024_lidar_classes.ply,2,160
valve_0024_lidar_classes.ply,3,355
valve_0024_lidar_classes.ply,4,352
valve_0024_lidar_classes.ply,5,128
valve_0024_lidar_classes.ply,6,694
valve_0024_lidar_classes.ply,7,187
valve_0024_lidar_classes.ply,8,154
valve_0024_lidar_classes.ply,9,303
valve_0024_lidar_classes.ply,10,289
valve_0024_lidar_classes.ply,11,340
valve_0024_lidar_classes.ply,12,582
valve_0024_lidar_classes.ply,13,961
valve_0025_lidar_classes.ply,0,1051
valve_0025_lidar_classes.ply,1,253
valve_0025_lidar_classes.ply,2,178
valve_0025_lidar_classes.ply,3,378
valve_0025_lidar_classes.ply,4,305
valve_0025_lidar_classes.ply,5,120
valve_0025_lidar_classes.ply,6,680
valve_0025_lidar_classes.ply,7,130
valve_0025_lidar_classes.ply,8,230
valve_0025_lidar_classes.ply,9,295
valve_0025_lidar_classes.ply,10,216
valve_0025_lidar_classes.ply,11,351
valve_0025_lidar_classes.ply,12,461
valve_0025_lidar_classes.ply,13,1086
valve_0026_lidar_classes.ply,0,990
valve_0026_lidar_classes.ply,1,229
valve_0026_lidar_classes.ply,2,147
valve_0026_lidar_classes.ply,3,422
valve_0026_lidar_classes.ply,4,301
valve_0026_lidar_classes.ply,5,111
valve_0026_lidar_classes.ply,6,759
valve_0026_lidar_classes.ply,7,126
valve_0026_lidar_classes.ply,8,179
valve_0026_lidar_classes.ply,9,294
valve_0026_lidar_classes.ply,10,268
valve_0026_lidar_classes.ply,11,340
valve_0026_lidar_classes.ply,12,523
valve_0026_lidar_classes.ply,13,1053
valve_0027_lidar_classes.ply,0,943
valve_0027_lidar_classes.ply,1,231
valve_0027_lidar_classes.ply,2,185
valve_0027_lidar_classes.ply,3,354
valve_0027_lidar_classes.ply,4,427
valve_0027_lidar_classes.ply,5,159
valve_0027_lidar_classes.ply,6,825
valve_0027_lidar_classes.ply,7,172
valve_0027_lidar_classes.ply,8,136
valve_0027_lidar_classes.ply,9,247
valve_0027_lidar_classes.ply,10,243
valve_0027_lidar_classes.ply,11,384
valve_0027_lidar_classes.ply,12,516
valve_0027_lidar_classes.ply,13,1023
valve_0028_lidar_classes.ply,0,1067
valve_0028_lidar_classes.ply,1,210
valve_0028_lidar_classes.ply,2,160
valve_0028_lidar_classes.ply,3,398
valve_0028_lidar_classes.ply,4,345
valve_0028_lidar_classes.ply,5,150
valve_0028_lidar_classes.ply,6,785
valve_0028_lidar_classes.ply,7,194
valve_0028_lidar_classes.ply,8,231
valve_0028_lidar_classes.ply,9,277
valve_0028_lidar_classes.ply,10,284
valve_0028_lidar_classes.ply,11,397
valve_0028_lidar_classes.ply,12,506
valve_0028_lidar_classes.ply,13,1029
valve_0030_lidar_classes.ply,0,954
valve_0030_lidar_classes.ply,1,259
valve_0030_lidar_classes.ply,2,163
valve_0030_lidar_classes.ply,3,398
valve_0030_lidar_classes.ply,4,377
valve_0030_lidar_classes.ply,5,146
valve_0030_lidar_classes.ply,6,886
valve_0030_lidar_classes.ply,7,233
valve_0030_lidar_classes.ply,8,194
valve_0030_lidar_classes.ply,9,271
valve_0030_lidar_classes.ply,10,316
valve_0030_lidar_classes.ply,11,372
valve_0030_lidar_classes.ply,12,529
valve_0030_lidar_classes.ply,13,936
valve_0031_lidar_classes.ply,0,1018
valve_0031_lidar_classes.ply,1,264
valve_0031_lidar_classes.ply,2,163
valve_0031_lidar_classes.ply,3,332
valve_0031_lidar_classes.ply,4,346
valve_0031_lidar_classes.ply,5,104
valve_0031_lidar_classes.ply,6,701
valve_0031_lidar_classes.ply,7,121
valve_0031_lidar_classes.ply,8,232
valve_0031_lidar_classes.ply,9,273
valve_0031_lidar_classes.ply,10,196
valve_0031_lidar_classes.ply,11,384
valve_0031_lidar_classes.ply,12,555
valve_0031_lidar_classes.ply,13,1006
valve_0032_lidar_classes.ply,0,1078
valve_0032_lidar_classes.ply,1,244
valve_0032_lidar_classes.ply,2,173
valve_0032_lidar_classes.ply,3,360
valve_0032_lidar_classes.ply,4,339
valve_0032_lidar_classes.ply,5,133
valve_0032_lidar_classes.ply,6,849
valve_0032_lidar_classes.ply,7,228
valve_0032_lidar_classes.ply,8,204
valve_0032_lidar_classes.ply,9,243
valve_0032_lidar_classes.ply,10,299
valve_0032_lidar_classes.ply,11,342
valve_0032_lidar_classes.ply,12,571
valve_0032_lidar_classes.ply,13,1052
valve_0033_lidar_classes.ply,0,1090
valve_0033_lidar_classes.ply,1,225
valve_0033_lidar_classes.ply,2,148
valve_0033_lidar_classes.ply,3,390
valve_0033_lidar_classes.ply,4,330
valve_0033_lidar_classes.ply,5,132
valve_0033_lidar_classes.ply,6,738
valve_0033_lidar_classes.ply,7,199
valve_0033_lidar_classes.ply,8,133
valve_0033_lidar_classes.ply,9,278
valve_0033_lidar_classes.ply,10,267
valve_0033_lidar_classes.ply,11,365
valve_0033_lidar_classes.ply,12,590
valve_0033_lidar_classes.ply,13,987
valve_0034_lidar_classes.ply,0,972
valve_0034_lidar_classes.ply,1,269
valve_0034_lidar_classes.ply,2,152
valve_0034_lidar_classes.ply,3,390
valve_0034_lidar_classes.ply,4,353
valve_0034_lidar_classes.ply,5,93
valve_0034_lidar_classes.ply,6,806
valve_0034_lidar_classes.ply,7,166
valve_0034_lidar_classes.ply,8,134
valve_0034_lidar_classes.ply,9,279
valve_0034_lidar_classes.ply,10,264
valve_0034_lidar_classes.ply,11,395
valve_0034_lidar_classes.ply,12,533
valve_0034_lidar_classes.ply,13,1113
valve_0035_lidar_classes.ply,0,949
valve_0035_lidar_classes.ply,1,234
valve_0035_lidar_classes.ply,2,153
valve_0035_lidar_classes.ply,3,407
valve_0035_lidar_classes.ply,4,266
valve_0035_lidar_classes.ply,5,109
valve_0035_lidar_classes.ply,6,745
valve_0035_lidar_classes.ply,7,118
valve_0035_lidar_classes.ply,8,200
valve_0035_lidar_classes.ply,9,287
valve_0035_lidar_classes.ply,10,230
valve_0035_lidar_classes.ply,11,327
valve_0035_lidar_classes.ply,12,443
valve_0035_lidar_classes.ply,13,1191
valve_0036_lidar_classes.ply,0,919
valve_0036_lidar_classes.ply,1,237
valve_0036_lidar_classes.ply,2,170
valve_0036_lidar_classes.ply,3,388
valve_0036_lidar_classes.ply,4,293
valve_0036_lidar_classes.ply,5,158
valve_0036_lidar_classes.ply,6,760
valve_0036_lidar_classes.ply,7,134
valve_0036_lidar_classes.ply,8,130
valve_0036_lidar_classes.ply,9,286
valve_0036_lidar_classes.ply,10,294
valve_0036_lidar_classes.ply,11,329
valve_0036_lidar_classes.ply,12,549
valve_0036_lidar_classes.ply,13,895
valve_0037_lidar_classes.ply,0,912
valve_0037_lidar_classes.ply,1,254
valve_0037_lidar_classes.ply,2,157
valve_0037_lidar_classes.ply,3,401
valve_0037_lidar_classes.ply,4,322
valve_0037_lidar_classes.ply,5,155
valve_0037_lidar_classes.ply,6,699
valve_0037_lidar_classes.ply,7,142
valve_0037_lidar_classes.ply,8,222
valve_0037_lidar_classes.ply,9,293
valve_0037_lidar_classes.ply,10,277
valve_0037_lidar_classes.ply,11,414
valve_0037_lidar_classes.ply,12,548
valve_0037_lidar_classes.ply,13,942
valve_0038_lidar_classes.ply,0,1041
valve_0038_lidar_classes.ply,1,220
valve_0038_lidar_classes.ply,2,186
valve_0038_lidar_classes.ply,3,395
valve_0038_lidar_classes.ply,4,350
valve_0038_lidar_classes.ply,5,116
valve_0038_lidar_classes.ply,6,895
valve_0038_lidar_classes.ply,7,231
valve_0038_lidar_classes.ply,8,171
valve_0038_lidar_classes.ply,9,213
valve_0038_lidar_classes.ply,10,319
valve_0038_lidar_classes.ply,11,359
valve_0038_lidar_classes.ply,12,470
valve_0038_lidar_classes.ply,13,1054
valve_0039_lidar_classes.ply,0,929
valve_0039_lidar_classes.ply,1,256
valve_0039_lidar_classes.ply,2,162
valve_0039_lidar_classes.ply,3,388
valve_0039_lidar_classes.ply,4,352
valve_0039_lidar_classes.ply,5,153
valve_0039_lidar_classes.ply,6,791
valve_0039_lidar_classes.ply,7,148
valve_0039_lidar_classes.ply,8,136
valve_0039_lidar_classes.ply,9,246
valve_0039_lidar_classes.ply,10,278
valve_0039_lidar_classes.ply,11,418
valve_0039_lidar_classes.ply,12,531
valve_0039_lidar_classes.ply,13,857
valve_0040_lidar_classes.ply,0,947
valve_0040_lidar_classes.ply,1,216
valve_0040_lidar_classes.ply,2,191
valve_0040_lidar_classes.ply,3,400
valve_0040_lidar_classes.ply,4,366
valve_0040_lidar_classes.ply,5,143
valve_0040_lidar_classes.ply,6,731
valve_0040_lidar_classes.ply,7,154
valve_0040_lidar_classes.ply,8,152
valve_0040_lidar_classes.ply,9,254
valve_0040_lidar_classes.ply,10,255
